17,select fieldid from field where cccol_u between # and # and skyframes_r between # and # and skysig_i between # and # and expapcorrectionerr_g between .# and .#
2019-01-24 14:18:00,2
2019-01-24 17:47:00,1
2019-01-24 23:51:00,12
2019-01-24 23:52:00,2
