315,"select p.run,p.rerun,p.camcol,p.field, g.colc, g.rowc, g.petroR9#_r from dbo.fGetNearestObjEq(#,#,#) p, PhotoObjAll g where p.run=g.run and p.rerun=g.rerun and p.camcol=g.camcol and p.field=g.field and p.objid=g.objid and p.rerun>#"
2019-01-24 06:42:00,5
2019-01-24 06:43:00,4
2019-01-24 06:44:00,6
2019-01-24 06:45:00,4
2019-01-24 06:46:00,5
2019-01-24 06:47:00,5
2019-01-24 06:48:00,7
2019-01-24 06:49:00,7
2019-01-24 06:50:00,6
2019-01-24 06:51:00,5
2019-01-24 06:52:00,6
2019-01-24 06:53:00,6
2019-01-24 06:54:00,6
2019-01-24 06:55:00,6
2019-01-24 06:56:00,4
2019-01-24 06:57:00,7
2019-01-24 06:58:00,5
2019-01-24 06:59:00,5
2019-01-24 07:00:00,9
2019-01-24 07:01:00,6
2019-01-24 07:02:00,4
2019-01-24 07:03:00,8
2019-01-24 07:04:00,6
2019-01-24 07:05:00,7
2019-01-24 07:06:00,5
2019-01-24 07:07:00,7
2019-01-24 07:08:00,8
2019-01-24 07:09:00,5
2019-01-24 07:10:00,5
2019-01-24 07:11:00,4
2019-01-24 07:12:00,5
2019-01-24 07:13:00,5
2019-01-24 07:14:00,6
2019-01-24 07:15:00,6
2019-01-24 07:16:00,3
2019-01-24 07:17:00,6
2019-01-24 07:18:00,7
2019-01-24 07:19:00,4
2019-01-24 07:20:00,6
2019-01-24 07:21:00,5
2019-01-24 07:22:00,4
2019-01-24 07:23:00,8
2019-01-24 07:24:00,6
2019-01-24 07:25:00,7
2019-01-24 07:26:00,4
2019-01-24 07:27:00,5
2019-01-24 07:28:00,7
2019-01-24 07:29:00,4
2019-01-24 08:02:00,6
2019-01-24 08:03:00,4
2019-01-24 08:04:00,6
2019-01-24 08:05:00,2
2019-01-24 08:06:00,5
2019-01-24 08:07:00,4
2019-01-24 08:08:00,5
2019-01-24 08:09:00,5
2019-01-24 08:10:00,5
2019-01-24 08:11:00,2
