55,"SELECT DISTINCT p.ra, p.dec, p.psfMag_u, p.psfMag_g, p.psfMag_r, p.psfMag_i, p.psfMag_z, p.extinction_u, p.extinction_g, p.extinction_r, p.extinction_i, p.extinction_z FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between #e-# and #))"
2019-01-24 06:58:00,1
2019-01-24 07:00:00,1
2019-01-24 07:14:00,5
2019-01-24 07:15:00,4
2019-01-24 07:16:00,3
2019-01-24 07:19:00,1
2019-01-24 07:20:00,1
2019-01-24 07:22:00,1
2019-01-24 07:24:00,1
2019-01-24 07:26:00,1
2019-01-24 07:27:00,1
2019-01-24 07:30:00,1
2019-01-24 07:31:00,1
2019-01-24 07:32:00,1
2019-01-24 07:33:00,1
2019-01-24 07:34:00,1
2019-01-24 07:35:00,1
2019-01-24 07:36:00,1
2019-01-24 07:37:00,1
2019-01-24 07:38:00,1
2019-01-24 07:40:00,1
2019-01-24 07:42:00,1
2019-01-24 07:43:00,1
2019-01-24 07:45:00,1
2019-01-24 07:47:00,1
2019-01-24 07:49:00,1
2019-01-24 07:50:00,1
2019-01-24 07:52:00,1
2019-01-24 07:53:00,1
2019-01-24 07:54:00,1
2019-01-24 07:56:00,1
2019-01-24 07:57:00,1
2019-01-24 07:59:00,1
2019-01-24 08:00:00,1
2019-01-24 08:02:00,2
2019-01-24 08:03:00,2
2019-01-24 08:04:00,1
2019-01-24 08:05:00,1
2019-01-24 08:06:00,1
2019-01-24 08:08:00,2
2019-01-24 08:10:00,1
2019-01-24 08:11:00,1
2019-01-24 09:33:00,1
