18,select fieldid from field where mjd_g between # and # and photostatus between # and #
2019-01-24 14:28:00,3
2019-01-24 16:29:00,5
2019-01-24 17:57:00,4
2019-01-24 19:58:00,3
2019-01-24 23:23:00,3
