959,select fieldid from field where cccol_u between -.# and .# and skyframes_r between # and #
2019-01-24 13:36:00,12
2019-01-24 13:37:00,7
2019-01-24 13:45:00,1
2019-01-24 14:24:00,61
2019-01-24 14:37:00,1
2019-01-24 14:38:00,2
2019-01-24 14:40:00,1
2019-01-24 14:41:00,1
2019-01-24 14:42:00,1
2019-01-24 17:12:00,5
2019-01-24 17:13:00,14
2019-01-24 17:21:00,2
2019-01-24 17:54:00,64
2019-01-24 18:06:00,1
2019-01-24 18:08:00,1
2019-01-24 18:10:00,3
2019-01-24 18:11:00,2
2019-01-24 20:22:00,11
2019-01-24 20:23:00,18
2019-01-24 20:24:00,5
2019-01-24 20:25:00,52
2019-01-24 20:26:00,84
2019-01-24 20:27:00,48
2019-01-24 20:33:00,155
2019-01-24 20:37:00,1
2019-01-24 21:25:00,4
2019-01-24 21:26:00,52
2019-01-24 21:27:00,5
2019-01-24 21:28:00,22
2019-01-24 21:34:00,1
2019-01-24 21:38:00,1
2019-01-24 21:41:00,5
2019-01-24 21:43:00,1
2019-01-24 22:02:00,1
2019-01-24 22:03:00,3
2019-01-24 22:26:00,10
2019-01-24 22:33:00,2
2019-01-24 22:37:00,1
2019-01-24 23:24:00,2
2019-01-24 23:29:00,1
2019-01-24 23:34:00,12
2019-01-24 23:35:00,22
2019-01-24 23:36:00,15
2019-01-24 23:37:00,43
2019-01-24 23:42:00,20
2019-01-24 23:43:00,1
2019-01-24 23:44:00,10
2019-01-24 23:45:00,24
2019-01-24 23:46:00,4
2019-01-24 23:47:00,3
2019-01-24 23:48:00,13
2019-01-24 23:49:00,5
2019-01-24 23:50:00,10
2019-01-24 23:51:00,8
2019-01-24 23:53:00,14
2019-01-24 23:54:00,20
2019-01-24 23:55:00,11
2019-01-24 23:56:00,19
2019-01-24 23:58:00,24
2019-01-24 23:59:00,17
