32,"select ra,dec,u,g,r,i,z,err_u,err_g,err_r,err_i,err_z from star where ra># and ra<# and dec># and dec<# and err_r<# and err_g<#"
2019-01-24 22:01:00,1
2019-01-24 22:02:00,1
2019-01-24 22:04:00,1
2019-01-24 22:06:00,1
2019-01-24 22:07:00,1
2019-01-24 22:09:00,1
2019-01-24 22:12:00,1
2019-01-24 22:13:00,1
2019-01-24 22:14:00,1
2019-01-24 22:15:00,1
2019-01-24 22:16:00,1
2019-01-24 22:21:00,1
2019-01-24 22:22:00,1
2019-01-24 22:29:00,1
2019-01-24 22:30:00,2
2019-01-24 22:31:00,1
2019-01-24 22:33:00,1
2019-01-24 22:34:00,1
2019-01-24 22:35:00,1
2019-01-24 22:40:00,1
2019-01-24 22:41:00,1
2019-01-24 22:43:00,1
2019-01-24 22:44:00,1
2019-01-24 22:45:00,1
2019-01-24 22:47:00,1
2019-01-24 22:50:00,1
2019-01-24 22:51:00,1
2019-01-24 22:52:00,1
2019-01-24 22:54:00,1
2019-01-24 22:55:00,1
2019-01-24 22:57:00,1
