3,"SELECT TOP # u,dered_u, g,dered_g, r,dered_r, i,dered_i, z,dered_z, ra,dec, deVRad_u, deVRad_g, deVRad_r, deVRad_i, deVRad_z, flags_r, petroR9#_r, petroR5#_r FROM Galaxy"
2019-01-24 16:09:00,2
2019-01-24 16:10:00,1
