764,select fieldid from field where ccrow_u between # and #
2019-01-24 13:37:00,2
2019-01-24 13:44:00,15
2019-01-24 13:50:00,16
2019-01-24 13:53:00,5
2019-01-24 13:54:00,49
2019-01-24 13:55:00,11
2019-01-24 13:57:00,2
2019-01-24 13:58:00,41
2019-01-24 14:00:00,5
2019-01-24 14:06:00,13
2019-01-24 14:07:00,8
2019-01-24 14:21:00,12
2019-01-24 14:27:00,43
2019-01-24 14:29:00,28
2019-01-24 14:30:00,2
2019-01-24 14:31:00,8
2019-01-24 14:39:00,14
2019-01-24 14:40:00,2
2019-01-24 14:44:00,9
2019-01-24 14:51:00,9
2019-01-24 14:52:00,2
2019-01-24 15:10:00,2
2019-01-24 15:44:00,3
2019-01-24 16:11:00,2
2019-01-24 16:12:00,4
2019-01-24 16:13:00,15
2019-01-24 16:14:00,5
2019-01-24 16:15:00,2
2019-01-24 16:18:00,5
2019-01-24 16:28:00,11
2019-01-24 17:13:00,2
2019-01-24 17:19:00,10
2019-01-24 17:20:00,4
2019-01-24 17:25:00,20
2019-01-24 17:29:00,6
2019-01-24 17:30:00,60
2019-01-24 17:31:00,8
2019-01-24 17:33:00,6
2019-01-24 17:34:00,42
2019-01-24 17:35:00,5
2019-01-24 17:36:00,2
2019-01-24 17:37:00,26
2019-01-24 17:38:00,2
2019-01-24 17:50:00,13
2019-01-24 17:51:00,1
2019-01-24 17:57:00,33
2019-01-24 17:58:00,4
2019-01-24 17:59:00,27
2019-01-24 18:00:00,13
2019-01-24 18:08:00,10
2019-01-24 18:09:00,4
2019-01-24 18:10:00,4
2019-01-24 18:13:00,7
2019-01-24 18:21:00,12
2019-01-24 18:39:00,2
2019-01-24 19:13:00,3
2019-01-24 19:41:00,4
2019-01-24 19:43:00,20
2019-01-24 19:44:00,2
2019-01-24 19:47:00,5
2019-01-24 19:57:00,7
2019-01-24 20:51:00,2
2019-01-24 20:52:00,5
2019-01-24 20:54:00,20
2019-01-24 21:06:00,12
2019-01-24 21:07:00,1
2019-01-24 23:24:00,15
