191,select fieldid from field where skyframes_g between # and #
2019-01-24 13:28:00,4
2019-01-24 13:32:00,2
2019-01-24 13:33:00,1
2019-01-24 13:35:00,3
2019-01-24 13:52:00,2
2019-01-24 13:53:00,3
2019-01-24 14:28:00,4
2019-01-24 14:29:00,21
2019-01-24 14:30:00,9
2019-01-24 14:51:00,2
2019-01-24 15:47:00,1
2019-01-24 15:48:00,8
2019-01-24 16:33:00,3
2019-01-24 16:43:00,3
2019-01-24 16:48:00,1
2019-01-24 17:09:00,4
2019-01-24 17:11:00,6
2019-01-24 17:27:00,3
2019-01-24 17:28:00,1
2019-01-24 17:58:00,9
2019-01-24 17:59:00,32
2019-01-24 18:00:00,9
2019-01-24 18:21:00,2
2019-01-24 19:17:00,8
2019-01-24 20:02:00,2
2019-01-24 20:12:00,2
2019-01-24 20:18:00,1
2019-01-24 20:51:00,14
2019-01-24 20:52:00,3
2019-01-24 22:13:00,2
2019-01-24 22:15:00,8
2019-01-24 22:20:00,3
2019-01-24 22:41:00,2
2019-01-24 22:42:00,3
2019-01-24 23:01:00,2
2019-01-24 23:33:00,3
2019-01-24 23:59:00,5
