5393,"SELECT  top #   p.objID, p.run, p.rerun, p.camcol, p.field, p.obj,    p.type, p.ra, p.dec, p.u,p.g,p.r,p.i,p.z,    p.Err_u, p.Err_g, p.Err_r,p.Err_i,p.Err_z    FROM fGetNearbyObjEq(#,#,#) n, PhotoPrimary p    WHERE n.objID=p.objID"
2019-01-24 00:01:00,1
2019-01-24 00:04:00,2
2019-01-24 00:07:00,5
2019-01-24 00:09:00,20
2019-01-24 00:11:00,3
2019-01-24 00:14:00,2
2019-01-24 00:16:00,7
2019-01-24 00:17:00,5
2019-01-24 00:19:00,20
2019-01-24 00:21:00,3
2019-01-24 00:24:00,2
2019-01-24 00:26:00,7
2019-01-24 00:27:00,5
2019-01-24 00:29:00,23
2019-01-24 00:31:00,4
2019-01-24 00:34:00,2
2019-01-24 00:36:00,7
2019-01-24 00:37:00,5
2019-01-24 00:39:00,22
2019-01-24 00:41:00,3
2019-01-24 00:44:00,2
2019-01-24 00:46:00,7
2019-01-24 00:47:00,5
2019-01-24 00:49:00,21
2019-01-24 00:51:00,2
2019-01-24 00:54:00,2
2019-01-24 00:56:00,7
2019-01-24 00:57:00,5
2019-01-24 00:59:00,21
2019-01-24 01:01:00,3
2019-01-24 01:04:00,2
2019-01-24 01:06:00,7
2019-01-24 01:07:00,5
2019-01-24 01:09:00,22
2019-01-24 01:11:00,4
2019-01-24 01:14:00,2
2019-01-24 01:16:00,7
2019-01-24 01:17:00,5
2019-01-24 01:19:00,21
2019-01-24 01:21:00,3
2019-01-24 01:24:00,2
2019-01-24 01:26:00,7
2019-01-24 01:27:00,5
2019-01-24 01:29:00,23
2019-01-24 01:31:00,2
2019-01-24 01:34:00,2
2019-01-24 01:36:00,7
2019-01-24 01:37:00,5
2019-01-24 01:39:00,20
2019-01-24 01:41:00,2
2019-01-24 01:44:00,2
2019-01-24 01:46:00,7
2019-01-24 01:47:00,5
2019-01-24 01:49:00,20
2019-01-24 01:51:00,2
2019-01-24 01:54:00,2
2019-01-24 01:56:00,3
2019-01-24 01:57:00,9
2019-01-24 01:59:00,20
2019-01-24 02:01:00,2
2019-01-24 02:04:00,2
2019-01-24 02:06:00,3
2019-01-24 02:07:00,9
2019-01-24 02:09:00,24
2019-01-24 02:11:00,2
2019-01-24 02:14:00,2
2019-01-24 02:16:00,3
2019-01-24 02:17:00,9
2019-01-24 02:19:00,22
2019-01-24 02:21:00,2
2019-01-24 02:24:00,2
2019-01-24 02:26:00,3
2019-01-24 02:27:00,9
2019-01-24 02:29:00,20
2019-01-24 02:31:00,2
2019-01-24 02:34:00,2
2019-01-24 02:36:00,3
2019-01-24 02:37:00,9
2019-01-24 02:39:00,21
