84,select fieldid from field where skyframes_r between # and #
2019-01-24 14:43:00,8
2019-01-24 14:44:00,1
2019-01-24 16:13:00,6
2019-01-24 16:15:00,5
2019-01-24 18:13:00,9
2019-01-24 19:42:00,7
2019-01-24 19:43:00,1
2019-01-24 19:44:00,5
2019-01-24 20:51:00,4
2019-01-24 20:53:00,8
2019-01-24 22:26:00,11
2019-01-24 22:28:00,9
2019-01-24 22:47:00,10
