167,select fieldid from field where skyslope_r between -.# and -.# and medianpsfcolor_r between # and #
2019-01-24 14:16:00,1
2019-01-24 14:18:00,1
2019-01-24 14:21:00,4
2019-01-24 14:24:00,1
2019-01-24 14:34:00,1
2019-01-24 14:51:00,1
2019-01-24 16:49:00,3
2019-01-24 16:50:00,22
2019-01-24 16:51:00,3
2019-01-24 16:52:00,2
2019-01-24 17:46:00,1
2019-01-24 17:48:00,1
2019-01-24 17:51:00,3
2019-01-24 17:53:00,3
2019-01-24 18:03:00,3
2019-01-24 18:21:00,2
2019-01-24 20:18:00,3
2019-01-24 20:19:00,8
2019-01-24 20:20:00,9
2019-01-24 20:21:00,2
2019-01-24 20:45:00,4
2019-01-24 20:46:00,1
2019-01-24 20:48:00,1
2019-01-24 21:13:00,1
2019-01-24 21:17:00,3
2019-01-24 21:22:00,3
2019-01-24 21:36:00,1
2019-01-24 22:34:00,2
2019-01-24 22:35:00,2
2019-01-24 22:36:00,5
2019-01-24 22:44:00,2
2019-01-24 22:47:00,3
2019-01-24 22:48:00,2
2019-01-24 22:49:00,9
2019-01-24 22:50:00,5
2019-01-24 22:52:00,4
2019-01-24 22:53:00,3
2019-01-24 22:55:00,2
2019-01-24 22:56:00,4
2019-01-24 22:57:00,5
2019-01-24 22:58:00,4
2019-01-24 22:59:00,3
2019-01-24 23:00:00,10
2019-01-24 23:01:00,1
2019-01-24 23:04:00,6
2019-01-24 23:05:00,4
2019-01-24 23:07:00,1
2019-01-24 23:23:00,1
2019-01-24 23:26:00,1
