29332,"SELECT DISTINCT p.ra, p.dec, p.objid, p.run, p.rerun, p.camcol, p.field FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-01-24 01:03:00,1
2019-01-24 01:06:00,3
2019-01-24 04:08:00,151
2019-01-24 04:09:00,60
2019-01-24 04:23:00,19
2019-01-24 04:24:00,191
2019-01-24 04:25:00,175
2019-01-24 04:26:00,174
2019-01-24 04:27:00,191
2019-01-24 04:28:00,160
2019-01-24 04:29:00,169
2019-01-24 04:30:00,173
2019-01-24 04:31:00,171
2019-01-24 04:32:00,183
2019-01-24 04:33:00,166
2019-01-24 04:34:00,185
2019-01-24 04:35:00,179
2019-01-24 04:36:00,195
2019-01-24 04:37:00,170
2019-01-24 04:38:00,178
2019-01-24 04:39:00,179
2019-01-24 04:40:00,178
2019-01-24 04:41:00,194
2019-01-24 04:42:00,177
2019-01-24 04:43:00,179
2019-01-24 04:44:00,201
2019-01-24 04:45:00,191
2019-01-24 04:46:00,179
2019-01-24 04:47:00,200
2019-01-24 04:48:00,207
2019-01-24 04:49:00,184
2019-01-24 04:50:00,169
2019-01-24 04:51:00,180
2019-01-24 04:52:00,185
2019-01-24 04:53:00,184
2019-01-24 04:54:00,179
2019-01-24 04:55:00,179
2019-01-24 04:56:00,185
2019-01-24 04:57:00,186
2019-01-24 04:58:00,185
2019-01-24 04:59:00,184
2019-01-24 05:00:00,169
2019-01-24 05:01:00,170
2019-01-24 05:02:00,201
2019-01-24 05:03:00,202
2019-01-24 05:04:00,210
2019-01-24 05:05:00,176
2019-01-24 05:06:00,194
2019-01-24 05:07:00,179
2019-01-24 05:08:00,182
2019-01-24 05:09:00,181
2019-01-24 05:10:00,200
2019-01-24 05:11:00,175
2019-01-24 05:12:00,158
2019-01-24 05:13:00,175
2019-01-24 05:14:00,196
2019-01-24 05:15:00,180
2019-01-24 05:16:00,176
2019-01-24 05:17:00,178
2019-01-24 05:18:00,191
2019-01-24 05:19:00,196
2019-01-24 05:20:00,214
2019-01-24 05:21:00,190
2019-01-24 05:22:00,180
2019-01-24 05:23:00,182
2019-01-24 05:24:00,165
2019-01-24 05:25:00,162
2019-01-24 05:26:00,221
2019-01-24 05:27:00,193
2019-01-24 05:28:00,178
2019-01-24 05:29:00,175
2019-01-24 05:30:00,206
2019-01-24 05:31:00,173
2019-01-24 05:32:00,175
2019-01-24 05:33:00,159
2019-01-24 05:34:00,169
2019-01-24 05:35:00,192
2019-01-24 05:36:00,177
2019-01-24 05:37:00,155
2019-01-24 05:38:00,184
2019-01-24 05:39:00,165
2019-01-24 05:40:00,184
2019-01-24 05:41:00,167
2019-01-24 05:42:00,177
2019-01-24 05:43:00,155
2019-01-24 05:44:00,177
2019-01-24 05:45:00,178
2019-01-24 05:46:00,188
2019-01-24 05:47:00,183
2019-01-24 05:48:00,169
2019-01-24 05:49:00,182
2019-01-24 05:50:00,189
2019-01-24 05:51:00,168
2019-01-24 05:52:00,179
2019-01-24 05:53:00,151
2019-01-24 05:54:00,175
2019-01-24 05:55:00,204
2019-01-24 05:56:00,182
2019-01-24 05:57:00,166
2019-01-24 05:58:00,187
2019-01-24 05:59:00,188
2019-01-24 06:00:00,179
2019-01-24 06:01:00,180
2019-01-24 06:02:00,182
2019-01-24 06:03:00,169
2019-01-24 06:04:00,40
2019-01-24 16:36:00,1
2019-01-24 17:22:00,1
2019-01-24 17:26:00,307
2019-01-24 17:27:00,407
2019-01-24 17:28:00,455
2019-01-24 17:29:00,421
2019-01-24 17:30:00,469
2019-01-24 17:31:00,434
2019-01-24 17:32:00,459
2019-01-24 17:33:00,463
2019-01-24 17:34:00,431
2019-01-24 17:35:00,468
2019-01-24 17:36:00,414
2019-01-24 17:37:00,459
2019-01-24 17:38:00,435
2019-01-24 17:39:00,437
2019-01-24 17:40:00,449
2019-01-24 17:41:00,412
2019-01-24 17:42:00,471
2019-01-24 17:43:00,411
2019-01-24 17:44:00,445
2019-01-24 17:45:00,432
2019-01-24 17:46:00,440
2019-01-24 17:47:00,455
2019-01-24 17:48:00,438
2019-01-24 17:49:00,458
2019-01-24 17:50:00,438
2019-01-24 17:51:00,37
2019-01-24 19:17:00,1
2019-01-24 21:22:00,1
2019-01-24 21:27:00,1
