3,"select Z.z, Z.zErr, O.objID, O.ra, O.dec, O.cModelMag_r, Z.z-Z.zErr, Z.z+Z.zErr, Z.photoErrorClass into mydb.DR1#_NW_best3 from PhotoObjAll as O, Photoz as Z where Z.objID = O.objID   AND O.ra BETWEEN # AND #   AND O.dec BETWEEN # AND #   AND O.type = #   AND Z.z > #   AND O.insideMask = #   AND Z.photoErrorClass BETWEEN # AND #"
2019-01-24 10:51:00,2
2019-01-24 10:52:00,1
