3,"SELECT TOP #   m.*, dbo.fSpecidFromSDSS(m.PLATE,m.MJD,m.FIBERID,#) as specObjID FROM mydb.SDSS7_ID0# as m"
2019-01-24 13:06:00,1
2019-01-24 13:14:00,2
