58,"SELECT ra,dec,u,Err_u,g,Err_g,r,Err_r,i,Err_i,z,Err_z FROM PhotoObj WHERE ra BETWEEN # AND # AND dec BETWEEN # and # AND g<#"
2019-01-24 09:34:00,1
2019-01-24 09:41:00,2
2019-01-24 09:42:00,1
2019-01-24 09:43:00,1
2019-01-24 09:46:00,3
2019-01-24 10:00:00,1
2019-01-24 10:18:00,1
2019-01-24 10:19:00,2
2019-01-24 10:20:00,5
2019-01-24 10:22:00,1
2019-01-24 10:32:00,4
2019-01-24 10:33:00,12
2019-01-24 10:34:00,7
2019-01-24 10:55:00,2
2019-01-24 10:57:00,1
2019-01-24 10:58:00,2
2019-01-24 18:23:00,1
2019-01-24 18:35:00,1
2019-01-24 18:48:00,2
2019-01-24 18:52:00,2
2019-01-24 18:53:00,1
2019-01-24 18:54:00,3
2019-01-24 18:59:00,1
2019-01-24 19:02:00,1
