17,"SELECT TOP # g.l,  g.b,  s.z as redshift, g.u, g.err_u,  g.g,  g.err_g,  g.r,  g.err_r,  g.i,  g.err_i,  g.z,  g.err_z,  g.extinction_g,  g.extinction_r      FROM  Galaxy AS g  JOIN SpecObj as s ON s.specObjID = g.specObjID  WHERE  g.l between # and # and  g.b between # and # and  g.petroR9#_i/g.petroR5#_i > #  and ((flags & #) = #) and s.z > #"
2019-01-24 12:00:00,1
2019-01-24 13:16:00,1
2019-01-24 13:18:00,1
2019-01-24 13:21:00,1
2019-01-24 13:22:00,1
2019-01-24 13:42:00,1
2019-01-24 13:44:00,1
2019-01-24 13:49:00,1
2019-01-24 19:50:00,1
2019-01-24 19:53:00,1
2019-01-24 20:00:00,1
2019-01-24 20:51:00,1
2019-01-24 20:53:00,1
2019-01-24 20:56:00,1
2019-01-24 20:59:00,1
2019-01-24 21:02:00,1
2019-01-24 21:03:00,1
