1653,"SELECT  objid,ra,dec,u,g,r,i,z FROM PhotoObj WHERE  ra<(#) AND ra>(#)  AND dec<(#) AND dec>(#)  AND type=#"
2019-12-23 10:23:00,36
2019-12-23 10:24:00,47
2019-12-23 10:25:00,46
2019-12-23 10:26:00,45
2019-12-23 10:27:00,50
2019-12-23 10:28:00,45
2019-12-23 10:29:00,48
2019-12-23 10:30:00,52
2019-12-23 10:31:00,52
2019-12-23 10:32:00,53
2019-12-23 10:33:00,49
2019-12-23 10:34:00,50
2019-12-23 10:35:00,12
2019-12-23 10:36:00,39
2019-12-23 10:37:00,53
2019-12-23 10:38:00,37
2019-12-23 10:39:00,31
2019-12-23 10:40:00,28
2019-12-23 10:41:00,25
2019-12-23 10:42:00,18
2019-12-23 10:43:00,14
2019-12-23 10:44:00,18
2019-12-23 10:45:00,24
2019-12-23 10:46:00,23
2019-12-23 10:47:00,25
2019-12-23 10:48:00,27
2019-12-23 10:49:00,23
2019-12-23 10:50:00,23
2019-12-23 10:51:00,27
2019-12-23 10:52:00,24
2019-12-23 10:53:00,23
2019-12-23 10:54:00,26
2019-12-23 10:55:00,24
2019-12-23 10:56:00,22
2019-12-23 10:57:00,27
2019-12-23 10:58:00,21
2019-12-23 10:59:00,22
2019-12-23 11:00:00,23
2019-12-23 11:01:00,24
2019-12-23 11:02:00,24
2019-12-23 11:03:00,27
2019-12-23 11:04:00,27
2019-12-23 11:05:00,26
2019-12-23 11:06:00,29
2019-12-23 11:07:00,31
2019-12-23 11:08:00,30
2019-12-23 11:09:00,26
2019-12-23 11:10:00,21
2019-12-23 11:11:00,18
2019-12-23 11:12:00,18
2019-12-23 11:13:00,21
2019-12-23 11:14:00,35
2019-12-23 11:15:00,43
2019-12-23 11:16:00,21
