16,"SELECT TOP # fld.run, fld.avg_sky_muJy, fld.runarea AS area, ISNULL(fp.nfirstmatch,#)  FROM (   SELECT run, sum(primaryArea) AS runarea,  #e6*avg(power(cast(#. as float),#*sky_r)) as avg_sky_muJy  FROM Field  GROUP BY run  ) AS fld  LEFT OUTER JOIN (   SELECT p.run, count(*) AS nfirstmatch  FROM FIRST AS fm  INNER JOIN photoprimary as p  ON p.objid=fm.objid  GROUP BY p.run  ) AS fp  ON fld.run=fp.run  ORDER BY fld.run"
2019-09-08 06:32:00,1
2019-09-08 06:38:00,1
2019-09-08 06:47:00,1
2019-09-08 07:04:00,1
2019-09-08 09:41:00,1
2019-09-08 09:43:00,1
2019-09-08 09:46:00,1
2019-09-08 09:51:00,1
2019-09-08 10:00:00,1
2019-09-08 10:17:00,1
2019-09-08 15:13:00,1
2019-09-08 15:15:00,1
2019-09-08 15:18:00,1
2019-09-08 15:23:00,1
2019-09-08 15:32:00,1
2019-09-08 15:49:00,1
