63,"SELECT p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z,         p.run, p.rerun, p.camcol, p.field,         p.petroRad_r FROM PhotoObj AS p  JOIN SpecObj AS s ON s.bestobjid = p.objid  WHERE p.objid IN  (#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#"
2019-09-08 04:54:00,3
2019-09-08 04:55:00,3
2019-09-08 04:56:00,3
2019-09-08 04:57:00,3
2019-09-08 04:58:00,3
2019-09-08 04:59:00,2
2019-09-08 05:00:00,3
2019-09-08 05:01:00,3
2019-09-08 05:02:00,3
2019-09-08 05:03:00,2
2019-09-08 05:04:00,3
2019-09-08 05:05:00,1
2019-09-08 06:04:00,2
2019-09-08 06:05:00,1
2019-09-08 06:06:00,3
2019-09-08 06:07:00,2
2019-09-08 06:08:00,3
2019-09-08 06:09:00,2
2019-09-08 06:10:00,3
2019-09-08 06:11:00,2
2019-09-08 06:12:00,3
2019-09-08 06:13:00,2
2019-09-08 06:14:00,3
2019-09-08 06:15:00,2
2019-09-08 06:16:00,3
