134,"SELECT TOP # p.objid, p.specobjid, p.ra, p.dec, p.type, n.distance AS offset, p.run, p.rerun, p.camcol, p.field FROM fGetNearbyObjEq(#,#,#) n JOIN PhotoPrimary p ON n.objID=p.objID ORDER BY offset"
2019-09-08 22:33:00,17
2019-09-08 22:34:00,2
2019-09-08 22:35:00,8
2019-09-08 22:36:00,8
2019-09-08 22:37:00,6
2019-09-08 22:38:00,8
2019-09-08 22:39:00,5
2019-09-08 22:42:00,3
2019-09-08 22:43:00,6
2019-09-08 22:44:00,7
2019-09-08 22:45:00,7
2019-09-08 22:46:00,7
2019-09-08 22:47:00,7
2019-09-08 22:48:00,6
2019-09-08 22:49:00,7
2019-09-08 22:50:00,7
2019-09-08 22:51:00,7
2019-09-08 22:52:00,6
2019-09-08 22:53:00,7
2019-09-08 22:54:00,3
