6,"select g,r,i,ra,dec from Star where ra > # and ra < # and dec < # and dec > # and r < # and r > #"
2019-04-10 16:05:00,2
2019-04-10 16:06:00,1
2019-04-10 17:24:00,1
2019-04-10 17:25:00,2
