2,"SELECT p.ra,p.dec, p.modelMag_u, p.modelMag_g, p.modelMag_r, p.modelMag_i, p.modelMag_z, p.modelMagErr_u, p.modelMagErr_g, p.modelMagErr_r, p.modelMagErr_i, p.modelMagErr_z, p.petroRad_r, p.clean,p.type,p.mode, g.h_alpha_reqw, g.h_alpha_reqw_err, g.h_alpha_flux, g.h_alpha_flux_err,g.h_alpha_cont,g.h_alpha_cont_err , g.h_beta_reqw, g.h_beta_reqw_err, g.h_beta_flux, g.h_beta_flux_err,g.h_beta_cont,g.h_beta_cont_err , s.z, s.class, s.subclass FROM galSpecLine AS g JOIN SpecObj AS s ON s.specObjID = g.specObjID JOIN PhotoObj AS p ON p.specObjID = s.specObjID WHERE s.class = &&& AND p.type = # AND clean = # AND s.z <= # AND modelMag_r <= #. AND petroRad_r > # AND g.h_beta_reqw between # and #"
2019-04-10 15:54:00,1
2019-04-10 16:14:00,1
