3,"select top # p.objid, p.ra, p.dec from galaxy p, dbo.fgetNearByObjEq(# ,#,#) n where p.objid=n.objid"
2019-04-10 12:50:00,1
2019-04-10 12:51:00,1
2019-04-10 12:52:00,1
