19,"SELECT TOP # objID, ra, dec, modelMag_u, modelMag_g, modelMag_r, modelMag_i, modelMag_z, clean FROM StarTag WHERE ra BETWEEN # AND # AND dec BETWEEN # AND # AND modelMag_r BETWEEN # AND # AND clean = #"
2019-04-10 21:01:00,1
2019-04-10 21:03:00,1
2019-04-10 21:04:00,1
2019-04-10 21:07:00,1
2019-04-10 21:08:00,1
2019-04-10 21:14:00,1
2019-04-10 21:25:00,1
2019-04-10 21:37:00,1
2019-04-10 21:49:00,1
2019-04-10 22:01:00,1
2019-04-10 22:13:00,1
2019-04-10 22:25:00,1
2019-04-10 22:36:00,1
2019-04-10 22:47:00,1
2019-04-10 22:59:00,1
2019-04-10 23:10:00,1
2019-04-10 23:23:00,1
2019-04-10 23:37:00,1
2019-04-10 23:48:00,1
