15,"SELECT TOP #  p.objid,p.ra,p.dec,p.u,p.g,p.r,p.i,p.z,  p.run, p.rerun, p.camcol, p.field,  s.specobjid, s.class, s.z as redshift,  s.plate, s.mjd, s.fiberid FROM PhotoObj AS p  JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE   p.u BETWEEN # AND #  AND g BETWEEN # AND #"
2019-04-10 03:48:00,1
2019-04-10 03:50:00,1
2019-04-10 05:00:00,1
2019-04-10 08:29:00,1
2019-04-10 08:30:00,1
2019-04-10 12:44:00,1
2019-04-10 12:45:00,2
2019-04-10 14:42:00,1
2019-04-10 16:20:00,1
2019-04-10 16:24:00,1
2019-04-10 17:05:00,1
2019-04-10 17:37:00,1
2019-04-10 22:41:00,1
2019-04-10 22:46:00,1
