1490,"select p.run, p.camcol, p.field from STAR as p   inner join dbo.fGetNearbyObjEq(#,#,#) as N on p.objid = N.objid"
2019-06-22 00:00:00,2
2019-06-22 00:01:00,2
2019-06-22 00:03:00,2
2019-06-22 00:05:00,2
2019-06-22 00:09:00,2
2019-06-22 00:25:00,2
2019-06-22 00:28:00,2
2019-06-22 00:30:00,2
2019-06-22 00:31:00,2
2019-06-22 00:33:00,2
2019-06-22 00:34:00,2
2019-06-22 00:36:00,2
2019-06-22 00:39:00,2
2019-06-22 00:47:00,2
2019-06-22 00:48:00,2
2019-06-22 00:50:00,2
2019-06-22 00:51:00,2
2019-06-22 00:53:00,2
2019-06-22 00:54:00,2
2019-06-22 00:56:00,2
2019-06-22 01:04:00,2
2019-06-22 01:08:00,4
2019-06-22 01:10:00,2
2019-06-22 01:12:00,2
2019-06-22 01:14:00,4
2019-06-22 01:18:00,2
2019-06-22 01:26:00,2
2019-06-22 01:28:00,2
2019-06-22 01:29:00,2
2019-06-22 01:31:00,2
2019-06-22 01:32:00,2
2019-06-22 01:34:00,2
2019-06-22 01:35:00,2
2019-06-22 01:37:00,2
2019-06-22 01:46:00,2
2019-06-22 01:49:00,2
2019-06-22 01:50:00,2
2019-06-22 01:52:00,2
2019-06-22 01:53:00,2
2019-06-22 01:56:00,4
2019-06-22 02:00:00,2
2019-06-22 02:08:00,2
2019-06-22 02:10:00,2
2019-06-22 02:11:00,2
2019-06-22 02:13:00,4
2019-06-22 02:16:00,2
2019-06-22 02:17:00,2
2019-06-22 02:19:00,2
2019-06-22 02:27:00,2
2019-06-22 02:30:00,2
2019-06-22 02:31:00,2
2019-06-22 02:33:00,2
2019-06-22 02:34:00,2
2019-06-22 02:36:00,2
2019-06-22 02:37:00,2
2019-06-22 02:41:00,2
2019-06-22 02:49:00,2
2019-06-22 02:51:00,2
2019-06-22 02:53:00,2
2019-06-22 02:55:00,2
2019-06-22 02:56:00,2
2019-06-22 02:58:00,2
2019-06-22 03:00:00,2
2019-06-22 03:02:00,2
2019-06-22 03:10:00,2
2019-06-22 03:14:00,4
2019-06-22 03:17:00,2
2019-06-22 03:18:00,2
2019-06-22 03:21:00,4
2019-06-22 03:25:00,2
2019-06-22 03:33:00,2
2019-06-22 03:36:00,2
2019-06-22 03:37:00,2
2019-06-22 03:40:00,4
2019-06-22 03:43:00,2
2019-06-22 03:44:00,2
2019-06-22 03:47:00,2
2019-06-22 03:54:00,2
2019-06-22 03:57:00,2
2019-06-22 03:58:00,2
2019-06-22 04:00:00,2
2019-06-22 04:01:00,2
2019-06-22 04:04:00,4
2019-06-22 04:07:00,2
2019-06-22 04:14:00,2
2019-06-22 04:15:00,2
2019-06-22 04:18:00,2
2019-06-22 04:19:00,2
2019-06-22 04:21:00,2
2019-06-22 04:22:00,2
2019-06-22 04:23:00,2
2019-06-22 04:24:00,2
2019-06-22 04:43:00,2
2019-06-22 04:46:00,2
2019-06-22 04:48:00,2
2019-06-22 04:49:00,2
2019-06-22 04:51:00,2
2019-06-22 04:52:00,2
2019-06-22 04:55:00,2
2019-06-22 04:58:00,2
2019-06-22 05:08:00,2
2019-06-22 05:10:00,2
2019-06-22 05:12:00,2
2019-06-22 05:13:00,2
2019-06-22 05:15:00,2
2019-06-22 05:16:00,2
2019-06-22 05:18:00,2
2019-06-22 05:20:00,2
2019-06-22 05:29:00,4
2019-06-22 05:30:00,4
2019-06-22 05:33:00,2
2019-06-22 05:34:00,4
2019-06-22 05:35:00,4
2019-06-22 05:36:00,2
2019-06-22 05:37:00,2
2019-06-22 05:38:00,2
2019-06-22 05:40:00,4
2019-06-22 05:42:00,2
2019-06-22 05:44:00,2
2019-06-22 05:54:00,2
2019-06-22 05:55:00,2
2019-06-22 05:57:00,4
2019-06-22 05:58:00,2
2019-06-22 05:59:00,2
2019-06-22 06:00:00,2
2019-06-22 06:01:00,2
2019-06-22 06:10:00,2
2019-06-22 06:12:00,2
2019-06-22 06:13:00,2
2019-06-22 06:15:00,4
2019-06-22 06:17:00,4
2019-06-22 06:20:00,2
2019-06-22 06:27:00,2
2019-06-22 06:29:00,2
2019-06-22 06:30:00,2
2019-06-22 06:31:00,2
2019-06-22 06:32:00,2
2019-06-22 06:33:00,2
2019-06-22 06:34:00,2
2019-06-22 06:36:00,2
2019-06-22 06:46:00,4
2019-06-22 06:48:00,4
2019-06-22 06:49:00,2
2019-06-22 06:50:00,2
2019-06-22 06:52:00,2
2019-06-22 06:53:00,2
2019-06-22 06:55:00,2
2019-06-22 06:56:00,2
2019-06-22 06:57:00,2
2019-06-22 06:59:00,2
2019-06-22 07:00:00,2
2019-06-22 07:01:00,2
2019-06-22 07:02:00,2
2019-06-22 07:06:00,2
2019-06-22 07:08:00,2
2019-06-22 07:09:00,4
2019-06-22 07:10:00,2
2019-06-22 07:12:00,4
2019-06-22 07:13:00,2
2019-06-22 07:17:00,2
2019-06-22 07:18:00,4
2019-06-22 07:19:00,4
2019-06-22 07:20:00,2
2019-06-22 07:21:00,4
2019-06-22 07:23:00,2
2019-06-22 07:25:00,2
2019-06-22 07:26:00,2
2019-06-22 07:28:00,4
2019-06-22 07:30:00,2
2019-06-22 07:31:00,2
