16,"SELECT u.up_name as name,     p.objID, p.ra, p.dec,     dbo.fPhotoTypeN(p.type) as type,    p.modelMag_u, p.modelMag_g, p.modelMag_r, p.modelMag_i, p.modelMag_z,s.z as redshift,modelMag_z FROM #upload u       JOIN #x x ON x.up_id = u.up_id       JOIN PhotoTag p ON p.objID = x.objID       LEFT JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE   p.type = # ORDER BY x.up_id"
2019-06-22 07:47:00,1
2019-06-22 07:57:00,1
2019-06-22 08:07:00,1
2019-06-22 08:12:00,1
2019-06-22 08:16:00,1
2019-06-22 08:20:00,1
2019-06-22 08:43:00,1
2019-06-22 08:53:00,1
2019-06-22 08:56:00,1
2019-06-22 09:03:00,1
2019-06-22 09:09:00,1
2019-06-22 09:16:00,1
2019-06-22 09:19:00,1
2019-06-22 09:20:00,1
2019-06-22 09:23:00,1
2019-06-22 09:28:00,1
