40,SELECT * FROM S8#PhotoObj_#A
2019-06-22 10:25:00,1
2019-06-22 10:30:00,1
2019-06-22 10:35:00,1
2019-06-22 10:43:00,1
2019-06-22 10:52:00,1
2019-06-22 10:56:00,1
2019-06-22 11:03:00,1
2019-06-22 11:06:00,1
2019-06-22 11:10:00,1
2019-06-22 11:17:00,1
2019-06-22 11:19:00,1
2019-06-22 11:24:00,1
2019-06-22 11:31:00,1
2019-06-22 11:45:00,1
2019-06-22 11:49:00,1
2019-06-22 11:55:00,1
2019-06-22 11:57:00,1
2019-06-22 12:03:00,1
2019-06-22 12:07:00,1
2019-06-22 12:13:00,1
2019-06-22 12:16:00,1
2019-06-22 12:23:00,1
2019-06-22 12:30:00,1
2019-06-22 12:35:00,1
2019-06-22 12:39:00,1
2019-06-22 12:45:00,1
2019-06-22 12:49:00,1
2019-06-22 12:55:00,1
2019-06-22 12:59:00,1
2019-06-22 13:07:00,1
2019-06-22 13:14:00,1
2019-06-22 13:20:00,1
2019-06-22 13:25:00,1
2019-06-22 13:33:00,1
2019-06-22 13:38:00,1
2019-06-22 13:51:00,1
2019-06-22 13:55:00,1
2019-06-22 14:00:00,1
2019-06-22 14:02:00,1
2019-06-22 14:04:00,1
