119,"SELECT DISTINCT p.ra, p.dec, p.type, p.mode, p.modelMag_z, p.modelMag_i, p.modelMag_r, p.modelMag_g, p.psfMag_z, p.psfMag_i, p.psfMag_r, p.psfMag_g FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-06-22 16:39:00,1
2019-06-22 16:45:00,31
2019-06-22 16:46:00,12
2019-06-22 16:49:00,1
2019-06-22 16:59:00,23
2019-06-22 19:32:00,1
2019-06-22 19:37:00,2
2019-06-22 19:38:00,1
2019-06-22 19:43:00,1
2019-06-22 20:10:00,1
2019-06-22 20:11:00,1
2019-06-22 21:00:00,2
2019-06-22 21:01:00,6
2019-06-22 21:02:00,7
2019-06-22 21:03:00,5
2019-06-22 21:04:00,5
2019-06-22 21:05:00,6
2019-06-22 21:06:00,7
2019-06-22 21:07:00,6
