13,"SELECT  top #   p.run, p.rerun, p.camcol, p.field, p.obj,    p.type, p.ra, p.dec, p.u,p.g, p.r, p.i, p.z,    p.Err_u, p.Err_g, p.Err_r, p.Err_i, p.Err_z    FROM fGetObjFromRect(#,#,#,#) n,   PhotoPrimary p    WHERE n.objID=p.objID"
2019-07-19 00:03:00,1
2019-07-19 01:00:00,1
2019-07-19 03:21:00,1
2019-07-19 05:06:00,1
2019-07-19 06:28:00,1
2019-07-19 09:07:00,1
2019-07-19 11:36:00,1
2019-07-19 11:43:00,1
2019-07-19 16:53:00,1
2019-07-19 17:21:00,1
2019-07-19 19:28:00,1
2019-07-19 19:34:00,1
2019-07-19 21:04:00,1
