20,select * from zooMirrorBias where objid=#
2019-07-19 00:47:00,1
2019-07-19 01:17:00,1
2019-07-19 05:33:00,1
2019-07-19 10:19:00,1
2019-07-19 10:21:00,1
2019-07-19 10:24:00,1
2019-07-19 12:58:00,1
2019-07-19 12:59:00,1
2019-07-19 13:03:00,1
2019-07-19 13:21:00,1
2019-07-19 13:33:00,1
2019-07-19 13:41:00,1
2019-07-19 14:06:00,1
2019-07-19 15:45:00,1
2019-07-19 16:12:00,1
2019-07-19 17:15:00,1
2019-07-19 17:25:00,1
2019-07-19 18:03:00,1
2019-07-19 20:17:00,1
2019-07-19 22:00:00,1
