4775,SELECT DISTINCT p.* FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))
2019-02-16 00:38:00,31
2019-02-16 00:39:00,36
2019-02-16 00:40:00,38
2019-02-16 00:41:00,35
2019-02-16 00:42:00,35
2019-02-16 00:43:00,39
2019-02-16 00:44:00,38
2019-02-16 00:45:00,36
2019-02-16 00:46:00,36
2019-02-16 00:47:00,38
2019-02-16 00:48:00,35
2019-02-16 00:49:00,36
2019-02-16 00:50:00,8
2019-02-16 04:43:00,9
2019-02-16 04:44:00,37
2019-02-16 04:45:00,35
2019-02-16 04:46:00,38
2019-02-16 04:47:00,35
2019-02-16 04:48:00,25
2019-02-16 04:49:00,36
2019-02-16 04:50:00,37
2019-02-16 04:51:00,36
2019-02-16 04:52:00,30
2019-02-16 04:53:00,36
2019-02-16 04:54:00,36
2019-02-16 04:55:00,38
2019-02-16 04:56:00,36
2019-02-16 04:57:00,38
2019-02-16 04:58:00,36
2019-02-16 04:59:00,34
2019-02-16 05:00:00,40
2019-02-16 05:01:00,33
2019-02-16 05:02:00,33
2019-02-16 05:03:00,38
2019-02-16 05:04:00,35
2019-02-16 05:05:00,30
2019-02-16 05:06:00,34
2019-02-16 05:07:00,40
2019-02-16 05:08:00,38
2019-02-16 05:09:00,33
2019-02-16 05:10:00,34
2019-02-16 05:11:00,34
2019-02-16 05:12:00,33
2019-02-16 05:13:00,30
2019-02-16 05:14:00,22
2019-02-16 05:15:00,11
2019-02-16 05:16:00,10
2019-02-16 05:17:00,11
2019-02-16 05:18:00,19
2019-02-16 05:19:00,20
2019-02-16 05:20:00,17
2019-02-16 05:21:00,37
2019-02-16 05:22:00,16
2019-02-16 05:23:00,13
2019-02-16 05:24:00,14
2019-02-16 05:25:00,7
2019-02-16 05:26:00,12
2019-02-16 05:27:00,13
2019-02-16 05:28:00,25
2019-02-16 05:29:00,30
2019-02-16 05:30:00,36
2019-02-16 05:31:00,33
2019-02-16 05:32:00,34
2019-02-16 05:33:00,34
2019-02-16 05:34:00,33
2019-02-16 05:35:00,29
2019-02-16 05:36:00,31
2019-02-16 05:37:00,36
2019-02-16 05:38:00,39
2019-02-16 05:39:00,36
2019-02-16 05:40:00,35
2019-02-16 05:41:00,32
2019-02-16 05:42:00,32
2019-02-16 05:43:00,36
2019-02-16 05:44:00,40
2019-02-16 05:45:00,39
2019-02-16 05:46:00,39
2019-02-16 05:47:00,35
2019-02-16 05:48:00,30
2019-02-16 05:49:00,34
2019-02-16 05:50:00,34
2019-02-16 05:51:00,34
2019-02-16 05:52:00,33
2019-02-16 05:53:00,36
2019-02-16 05:54:00,40
2019-02-16 05:55:00,40
2019-02-16 05:56:00,40
2019-02-16 05:57:00,39
2019-02-16 05:58:00,40
2019-02-16 05:59:00,38
2019-02-16 06:00:00,33
2019-02-16 06:01:00,33
2019-02-16 06:02:00,33
2019-02-16 06:03:00,36
2019-02-16 06:04:00,34
2019-02-16 06:05:00,38
2019-02-16 06:06:00,36
2019-02-16 06:07:00,30
2019-02-16 06:08:00,31
2019-02-16 06:09:00,31
2019-02-16 06:10:00,34
2019-02-16 06:11:00,24
2019-02-16 06:12:00,28
2019-02-16 06:13:00,30
2019-02-16 06:14:00,25
2019-02-16 06:15:00,30
2019-02-16 06:16:00,31
2019-02-16 06:17:00,28
2019-02-16 06:18:00,31
2019-02-16 06:19:00,32
2019-02-16 06:20:00,30
2019-02-16 06:21:00,31
2019-02-16 06:22:00,25
2019-02-16 06:23:00,32
2019-02-16 06:24:00,32
2019-02-16 06:25:00,4
2019-02-16 06:26:00,10
2019-02-16 06:27:00,5
2019-02-16 06:28:00,10
2019-02-16 06:29:00,7
2019-02-16 06:30:00,12
2019-02-16 06:31:00,27
2019-02-16 06:32:00,30
2019-02-16 06:33:00,31
2019-02-16 06:34:00,29
2019-02-16 06:35:00,25
2019-02-16 06:36:00,25
2019-02-16 06:37:00,27
2019-02-16 06:38:00,31
2019-02-16 06:39:00,29
2019-02-16 06:40:00,30
2019-02-16 06:41:00,30
2019-02-16 06:42:00,31
2019-02-16 06:43:00,32
2019-02-16 06:44:00,33
2019-02-16 06:45:00,35
2019-02-16 06:46:00,34
2019-02-16 06:47:00,31
2019-02-16 06:48:00,31
2019-02-16 06:49:00,38
2019-02-16 06:50:00,39
2019-02-16 06:51:00,36
2019-02-16 06:52:00,35
2019-02-16 06:53:00,39
2019-02-16 06:54:00,39
2019-02-16 06:55:00,39
2019-02-16 06:56:00,36
2019-02-16 06:57:00,36
2019-02-16 06:58:00,34
2019-02-16 06:59:00,33
2019-02-16 07:00:00,29
2019-02-16 07:01:00,30
2019-02-16 07:02:00,32
2019-02-16 07:03:00,30
2019-02-16 07:04:00,31
2019-02-16 07:05:00,10
