37,select * from sppLines where specObjId=#
2019-02-16 00:16:00,1
2019-02-16 00:37:00,1
2019-02-16 00:44:00,1
2019-02-16 00:54:00,1
2019-02-16 03:15:00,1
2019-02-16 05:23:00,1
2019-02-16 05:56:00,1
2019-02-16 06:55:00,1
2019-02-16 07:30:00,1
2019-02-16 11:31:00,1
2019-02-16 11:35:00,1
2019-02-16 11:36:00,1
2019-02-16 11:41:00,1
2019-02-16 11:54:00,1
2019-02-16 13:20:00,1
2019-02-16 15:44:00,2
2019-02-16 16:32:00,1
2019-02-16 18:35:00,2
2019-02-16 19:18:00,10
2019-02-16 20:15:00,1
2019-02-16 21:19:00,1
2019-02-16 21:33:00,1
2019-02-16 22:11:00,2
2019-02-16 22:50:00,1
2019-02-16 23:32:00,1
