3,"SELECT TOP #    p.ra,p.dec,p.u,p.g,p.r,p.i,p.z,     s.z as redshift  FROM PhotoObj AS p   JOIN SpecObj AS s ON s.bestobjid = p.objid    WHERE    s.z between # and # and   p.dec between # and #"
2019-10-10 13:38:00,1
2019-10-10 13:39:00,2
