1443,"SELECT top # ra,dec,u,g,r,i,z,GNOE.distance*# FROM PhotoObj as PT JOIN dbo.fGetNearbyObjEq(#,#,#) as GNOE on PT.objID = GNOE.objID ORDER BY GNOE.distance"
2019-10-10 16:04:00,1
2019-10-10 16:12:00,28
2019-10-10 16:13:00,40
2019-10-10 16:14:00,32
2019-10-10 16:15:00,10
2019-10-10 16:16:00,46
2019-10-10 16:17:00,38
2019-10-10 16:18:00,8
2019-10-10 16:23:00,2
2019-10-10 17:08:00,1
2019-10-10 20:39:00,1
2019-10-10 20:56:00,1
2019-10-10 20:57:00,1
2019-10-10 21:01:00,1
2019-10-10 21:29:00,1
2019-10-10 22:29:00,1
2019-10-10 22:30:00,1
2019-10-10 22:31:00,2
2019-10-10 22:36:00,2
2019-10-10 22:37:00,2
2019-10-10 22:41:00,1
2019-10-10 22:43:00,15
2019-10-10 23:06:00,1
2019-10-10 23:08:00,1
2019-10-10 23:09:00,1
2019-10-10 23:13:00,1
2019-10-10 23:14:00,1
2019-10-10 23:15:00,1
2019-10-10 23:17:00,1
2019-10-10 23:32:00,25
2019-10-10 23:33:00,45
2019-10-10 23:34:00,44
2019-10-10 23:35:00,43
2019-10-10 23:36:00,44
2019-10-10 23:37:00,44
2019-10-10 23:38:00,43
2019-10-10 23:39:00,44
2019-10-10 23:40:00,44
2019-10-10 23:41:00,44
2019-10-10 23:42:00,43
2019-10-10 23:43:00,44
2019-10-10 23:44:00,44
2019-10-10 23:45:00,43
2019-10-10 23:46:00,43
2019-10-10 23:47:00,44
2019-10-10 23:48:00,43
2019-10-10 23:49:00,43
2019-10-10 23:50:00,44
2019-10-10 23:51:00,43
2019-10-10 23:52:00,43
2019-10-10 23:53:00,43
2019-10-10 23:54:00,44
2019-10-10 23:55:00,43
2019-10-10 23:56:00,43
2019-10-10 23:57:00,44
2019-10-10 23:58:00,44
2019-10-10 23:59:00,43
