6,"select CONVERT([varchar](max), img, #)      from zoom     where sampleid=#     and level=#     and x=#     and y=#"
2019-10-10 16:12:00,1
2019-10-10 16:13:00,1
2019-10-10 16:18:00,1
2019-10-10 16:19:00,3
