2,"SELECT p.ra,p.dec,p.u,p.g,p.r,p.i,p.z,p.deVPhi_r,p.deVAB_r,p.deVRad_r,s.z,q.z into mydb.table_galaxy_r_under1#_v0# from PhotoObjAll AS p  JOIN Photoz AS s ON p.objid = s.objid  JOIN SpecObjAll AS q ON p.specobjid = q.specobjid  WHERE   p.r<# AND (q.class = &&&)"
2019-05-01 02:35:00,1
2019-05-01 02:36:00,1
