31,"select p.objid as name, p.ra, p.dec from galaxy p, specobj s where p.objid=s.bestobjid and (p.g BETWEEN # AND #) and s.z BETWEEN # AND #"
2019-05-01 00:05:00,1
2019-05-01 04:05:00,1
2019-05-01 04:45:00,1
2019-05-01 04:53:00,2
2019-05-01 04:57:00,1
2019-05-01 05:03:00,1
2019-05-01 05:09:00,1
2019-05-01 05:23:00,1
2019-05-01 05:29:00,1
2019-05-01 05:35:00,1
2019-05-01 05:43:00,1
2019-05-01 06:11:00,1
2019-05-01 07:02:00,1
2019-05-01 07:05:00,1
2019-05-01 07:12:00,1
2019-05-01 07:14:00,1
2019-05-01 07:17:00,1
2019-05-01 07:20:00,1
2019-05-01 07:24:00,1
2019-05-01 07:38:00,1
2019-05-01 07:50:00,1
2019-05-01 07:56:00,1
2019-05-01 08:01:00,1
2019-05-01 08:08:00,1
2019-05-01 08:20:00,1
2019-05-01 08:26:00,2
2019-05-01 15:10:00,1
2019-05-01 16:04:00,1
2019-05-01 16:31:00,1
