3,"SELECT top #   p.specObjID,s.specObjID,p.type_u,p.type_g,p.type_r,p.type_i, p.type_z, p.petroMag_u,p.petroMag_g,p.petroMag_r,p.petroMag_i,p.petroMag_z, p.petroRad_u,p.petroRad_g,p.petroRad_r,p.petroRad_i,p.petroRad_z, p.petroR5#_u, p.petroR5#_g,p.petroR5#_r,p.petroR5#_i,p.petroR5#_z, p.petroR9#_u,p.petroR9#_g,p.petroR9#_r,p.petroR9#_i,p.petroR9#_z, p.model Mag_u,p.model Mag_g,p.model Mag_r,p.model Mag_i,p.model Mag_z, p.err_u,p.err_g,p.err_r,p.err_i,p.err_z,p.ra,p.dec,p.b,p.l, p.extinction_u,p.extinction_g,p.extinction_r,p.extinction_i,p.extinction_z, p.dered_u,p.dered_g,p.dered_r,p.dered_i,p.dered_z,p.probPSF, s.z into mydb.projecto0 from PhotoObjAll p, SpecObjAll s where p.specObjID=s.specObjID AND p.dered_r<# AND type_r =# AND s.z BETWEEN # AND #"
2019-05-01 12:31:00,2
2019-05-01 12:32:00,1
