13,"SELECT TOP # &&& + cast(p.objId as varchar(#)) +&&& + cast(p.objId as varchar(#)) + &&& as objID,  p.run, p.rerun, p.camcol, p.field, p.obj,  p.type, p.ra, p.dec, p.u,p.g, p.r, p.i, p.z,  p.Err_u, p.Err_g, p.Err_r, p.Err_i, p.Err_z  FROM fGetObjFromRect(#,#,#,#) n, PhotoPrimary p  WHERE n.objID=p.objID"
2019-05-01 17:55:00,1
2019-05-01 18:15:00,1
2019-05-01 18:16:00,1
2019-05-01 18:17:00,2
2019-05-01 20:13:00,1
2019-05-01 20:16:00,1
2019-05-01 20:33:00,2
2019-05-01 20:54:00,1
2019-05-01 20:56:00,2
2019-05-01 22:39:00,1
