59,select * from fDocFunctionParams(&&&)
2019-05-01 00:03:00,1
2019-05-01 00:10:00,1
2019-05-01 00:11:00,1
2019-05-01 00:50:00,1
2019-05-01 01:18:00,1
2019-05-01 01:43:00,11
2019-05-01 02:29:00,3
2019-05-01 02:30:00,5
2019-05-01 02:31:00,5
2019-05-01 02:32:00,3
2019-05-01 02:33:00,5
2019-05-01 02:34:00,1
2019-05-01 02:35:00,1
2019-05-01 02:36:00,1
2019-05-01 05:35:00,1
2019-05-01 05:45:00,1
2019-05-01 07:33:00,1
2019-05-01 09:28:00,1
2019-05-01 09:47:00,1
2019-05-01 11:02:00,1
2019-05-01 11:24:00,1
2019-05-01 12:09:00,1
2019-05-01 12:15:00,1
2019-05-01 12:17:00,1
2019-05-01 13:09:00,1
2019-05-01 13:34:00,1
2019-05-01 13:35:00,1
2019-05-01 16:00:00,1
2019-05-01 16:19:00,1
2019-05-01 17:09:00,1
2019-05-01 18:09:00,1
2019-05-01 20:07:00,1
2019-05-01 23:27:00,1
