3,"SELECT distinct top #   m.ra, m.dec   FROM NN1 m  WHERE m.ra IN   (     SELECT     p.BOSS_HEADS_RA     FROM RA_AND_DEC p   )"
2019-01-09 15:17:00,2
2019-01-09 15:19:00,1
