30640,"SELECT ra, dec, radius, type,area FROM Mask where ra < # and ra > # and dec < # and dec > # and type != #"
2019-01-09 01:33:00,1
2019-01-09 01:34:00,19
2019-01-09 01:35:00,72
2019-01-09 01:36:00,71
2019-01-09 01:37:00,66
2019-01-09 01:38:00,70
2019-01-09 01:39:00,67
2019-01-09 01:40:00,70
2019-01-09 01:41:00,60
2019-01-09 01:42:00,62
2019-01-09 01:43:00,67
2019-01-09 01:44:00,66
2019-01-09 01:45:00,74
2019-01-09 01:46:00,76
2019-01-09 01:47:00,74
2019-01-09 01:48:00,73
2019-01-09 01:49:00,74
2019-01-09 01:50:00,70
2019-01-09 01:51:00,68
2019-01-09 01:52:00,69
2019-01-09 01:53:00,68
2019-01-09 01:54:00,71
2019-01-09 01:55:00,74
2019-01-09 01:56:00,74
2019-01-09 01:57:00,77
2019-01-09 01:58:00,70
2019-01-09 01:59:00,71
2019-01-09 02:00:00,70
2019-01-09 02:01:00,70
2019-01-09 02:02:00,69
2019-01-09 02:03:00,71
2019-01-09 02:04:00,73
2019-01-09 02:05:00,77
2019-01-09 02:06:00,73
2019-01-09 02:07:00,76
2019-01-09 02:08:00,71
2019-01-09 02:09:00,72
2019-01-09 02:10:00,77
2019-01-09 02:11:00,72
2019-01-09 02:12:00,70
2019-01-09 02:13:00,70
2019-01-09 02:14:00,74
2019-01-09 02:15:00,69
2019-01-09 02:16:00,71
2019-01-09 02:17:00,73
2019-01-09 02:18:00,72
2019-01-09 02:19:00,74
2019-01-09 02:20:00,75
2019-01-09 02:21:00,66
2019-01-09 02:22:00,78
2019-01-09 02:23:00,77
2019-01-09 02:24:00,74
2019-01-09 02:25:00,77
2019-01-09 02:26:00,75
2019-01-09 02:27:00,74
2019-01-09 02:28:00,77
2019-01-09 02:29:00,73
2019-01-09 02:30:00,77
2019-01-09 02:31:00,79
2019-01-09 02:32:00,67
2019-01-09 02:33:00,72
2019-01-09 02:34:00,78
2019-01-09 02:35:00,73
2019-01-09 02:36:00,76
2019-01-09 02:37:00,73
2019-01-09 02:38:00,74
2019-01-09 02:39:00,74
2019-01-09 02:40:00,77
2019-01-09 02:41:00,83
2019-01-09 02:42:00,78
2019-01-09 02:43:00,75
2019-01-09 02:44:00,73
2019-01-09 02:45:00,76
2019-01-09 02:46:00,78
2019-01-09 02:47:00,74
2019-01-09 02:48:00,78
2019-01-09 02:49:00,67
2019-01-09 02:50:00,77
2019-01-09 02:51:00,77
2019-01-09 02:52:00,76
2019-01-09 02:53:00,76
2019-01-09 02:54:00,74
2019-01-09 02:55:00,76
2019-01-09 02:56:00,74
2019-01-09 02:57:00,76
2019-01-09 02:58:00,79
2019-01-09 02:59:00,79
2019-01-09 03:00:00,80
2019-01-09 03:01:00,77
2019-01-09 03:02:00,79
2019-01-09 03:03:00,76
2019-01-09 03:04:00,74
2019-01-09 03:05:00,76
2019-01-09 03:06:00,67
2019-01-09 03:07:00,76
2019-01-09 03:08:00,77
2019-01-09 03:09:00,77
2019-01-09 03:10:00,77
2019-01-09 03:11:00,79
2019-01-09 03:12:00,79
2019-01-09 03:13:00,78
2019-01-09 03:14:00,79
2019-01-09 03:15:00,76
2019-01-09 03:16:00,77
2019-01-09 03:17:00,78
2019-01-09 03:18:00,78
2019-01-09 03:19:00,76
2019-01-09 03:20:00,80
2019-01-09 03:21:00,78
2019-01-09 03:22:00,78
2019-01-09 03:23:00,71
2019-01-09 03:24:00,79
2019-01-09 03:25:00,76
2019-01-09 03:26:00,76
2019-01-09 03:27:00,79
2019-01-09 03:28:00,76
2019-01-09 03:29:00,76
2019-01-09 03:30:00,78
2019-01-09 03:31:00,81
2019-01-09 03:32:00,79
2019-01-09 03:33:00,79
2019-01-09 03:34:00,76
2019-01-09 03:35:00,80
2019-01-09 03:36:00,81
2019-01-09 03:37:00,79
