3,"SELECT   TOP # mangaid, input_teff, psfmag_#, psfmag_# FROM MaStar_goodstars  WHERE (psfmag_#-psfmag_#<#) AND psfmag_#>#"
2019-01-09 17:19:00,2
2019-01-09 17:20:00,1
