138,"select ra,dec,psfMag_u,psfmagerr_u,psfMag_g,psfMagerr_g,psfMag_r,psfMagerr_r,psfMag_i,psfMagerr_i,psfMag_z,psfMagerr_z from PhotoPrimary where ra between # and # and dec between # and # and psfMag_r<#"
2019-01-09 00:12:00,10
2019-01-09 00:13:00,3
2019-01-09 01:45:00,7
2019-01-09 01:46:00,1
2019-01-09 01:47:00,54
2019-01-09 01:48:00,5
2019-01-09 04:31:00,3
2019-01-09 04:32:00,2
2019-01-09 04:33:00,3
2019-01-09 04:34:00,3
2019-01-09 04:35:00,4
2019-01-09 04:36:00,2
2019-01-09 04:37:00,3
2019-01-09 04:38:00,3
2019-01-09 04:39:00,2
2019-01-09 16:38:00,4
2019-01-09 16:39:00,4
2019-01-09 16:40:00,4
2019-01-09 16:41:00,3
2019-01-09 16:42:00,4
2019-01-09 16:43:00,2
2019-01-09 16:49:00,3
2019-01-09 16:50:00,4
2019-01-09 16:51:00,3
2019-01-09 16:52:00,2
