10,"select yy, mm, dd, hh, mi, ss  logID, clientIP, op, command, error, browser,  isvisible, referer, bytesOut, bytesIn, elapsed  into weblogall2#_#_#_to_#_#  from weblogall  where yy = # and mm between # and # and dd between # and # and hh between # and # and mi between # and #"
2019-06-08 09:52:00,1
2019-06-08 10:35:00,1
2019-06-08 12:35:00,1
2019-06-08 12:44:00,1
2019-06-08 13:56:00,1
2019-06-08 15:03:00,1
2019-06-08 15:09:00,1
2019-06-08 15:16:00,1
2019-06-08 19:50:00,1
2019-06-08 19:53:00,1
