370,"SELECT DISTINCT p.ra, p.dec, p.clean, p.u, p.g, p.r, p.i, p.z FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-06-08 12:33:00,34
2019-06-08 13:01:00,1
2019-06-08 13:02:00,17
2019-06-08 13:04:00,13
2019-06-08 13:08:00,22
2019-06-08 13:12:00,13
2019-06-08 13:13:00,10
2019-06-08 13:14:00,18
2019-06-08 13:19:00,14
2019-06-08 13:20:00,11
2019-06-08 13:31:00,22
2019-06-08 13:43:00,114
2019-06-08 13:52:00,15
2019-06-08 13:55:00,42
2019-06-08 14:00:00,3
2019-06-08 14:01:00,21
