192,"SELECT DISTINCT p.ra , p.dec FROM PhotoObjAll p WHERE (p.ra BETWEEN # AND #) AND (p.dec BETWEEN # AND #) AND p.run = # AND p.rerun = # AND p.camcol = # AND p.field = # GROUP BY p.ra, p.dec"
2019-02-18 11:10:00,4
2019-02-18 11:11:00,1
2019-02-18 13:20:00,5
2019-02-18 13:21:00,5
2019-02-18 13:22:00,10
2019-02-18 13:23:00,5
2019-02-18 13:27:00,10
2019-02-18 13:29:00,6
2019-02-18 13:30:00,9
2019-02-18 13:32:00,5
2019-02-18 13:58:00,5
2019-02-18 14:57:00,5
2019-02-18 15:00:00,10
2019-02-18 15:01:00,10
2019-02-18 15:05:00,1
2019-02-18 15:07:00,1
2019-02-18 15:09:00,1
2019-02-18 15:10:00,5
2019-02-18 15:11:00,13
2019-02-18 15:12:00,10
2019-02-18 15:13:00,10
2019-02-18 15:14:00,5
2019-02-18 15:15:00,11
2019-02-18 15:16:00,6
2019-02-18 15:17:00,10
2019-02-18 15:18:00,4
2019-02-18 15:20:00,5
2019-02-18 15:24:00,10
2019-02-18 17:13:00,3
2019-02-18 17:14:00,2
2019-02-18 17:21:00,5
