73,"SELECT DISTINCT TOP # p.run, p.rerun, p.camcol, max(p.field) as &&&, max(p.ra) as &&&, max(p.dec) as &&& FROM PhotoObjAll p WHERE (p.ra BETWEEN # AND #) AND (p.dec BETWEEN # AND #) GROUP BY p.run, p.rerun, p.camcol"
2019-02-18 10:59:00,1
2019-02-18 11:10:00,6
2019-02-18 13:18:00,1
2019-02-18 13:19:00,1
2019-02-18 13:20:00,2
2019-02-18 13:22:00,2
2019-02-18 13:23:00,1
2019-02-18 13:27:00,2
2019-02-18 13:28:00,1
2019-02-18 13:30:00,1
2019-02-18 13:57:00,1
2019-02-18 15:00:00,1
2019-02-18 15:01:00,1
2019-02-18 15:05:00,1
2019-02-18 15:07:00,1
2019-02-18 15:09:00,2
2019-02-18 15:10:00,2
2019-02-18 15:11:00,1
2019-02-18 15:13:00,1
2019-02-18 15:14:00,1
2019-02-18 15:15:00,1
2019-02-18 15:16:00,2
2019-02-18 15:17:00,1
2019-02-18 15:20:00,1
2019-02-18 15:23:00,1
2019-02-18 15:24:00,1
2019-02-18 16:49:00,5
2019-02-18 16:50:00,1
2019-02-18 16:51:00,1
2019-02-18 16:52:00,1
2019-02-18 16:53:00,2
2019-02-18 16:54:00,2
2019-02-18 16:55:00,2
2019-02-18 16:59:00,1
2019-02-18 17:09:00,1
2019-02-18 17:12:00,1
2019-02-18 17:30:00,1
2019-02-18 17:31:00,1
2019-02-18 17:32:00,1
2019-02-18 17:37:00,1
2019-02-18 17:38:00,1
2019-02-18 17:44:00,1
2019-02-18 17:46:00,1
2019-02-18 17:52:00,1
2019-02-18 17:57:00,2
2019-02-18 17:58:00,1
2019-02-18 17:59:00,1
2019-02-18 18:00:00,1
2019-02-18 18:03:00,1
2019-02-18 18:04:00,1
2019-02-18 18:10:00,1
2019-02-18 18:12:00,1
2019-02-18 18:29:00,1
2019-02-18 18:42:00,1
