201,"select name,ucd from dbcolumns where tablename = &&& and ( name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&&)"
2019-02-18 03:50:00,18
2019-02-18 04:42:00,9
2019-02-18 05:23:00,8
2019-02-18 05:24:00,1
2019-02-18 05:26:00,9
2019-02-18 07:56:00,9
2019-02-18 08:54:00,2
2019-02-18 08:55:00,7
2019-02-18 10:37:00,1
2019-02-18 11:27:00,9
2019-02-18 12:32:00,77
2019-02-18 12:33:00,24
2019-02-18 12:51:00,9
2019-02-18 13:30:00,9
2019-02-18 15:57:00,9
