2339,"select ra,dec,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,petroR5#_r,probPSF,psfMagErr_u,psfMagErr_g,psfMagErr_r,psfMagErr_i,psfMagErr_z, p.objid from (PhotoTag p inner join fGetObjFromRectEq(#,#,#,#) r on p.objid=r.objid)"
2019-05-12 00:19:00,2
2019-05-12 00:20:00,2
2019-05-12 00:24:00,6
2019-05-12 00:25:00,6
2019-05-12 00:26:00,2
2019-05-12 00:27:00,2
2019-05-12 00:28:00,5
2019-05-12 00:29:00,5
2019-05-12 00:30:00,10
2019-05-12 00:31:00,5
2019-05-12 01:12:00,3
2019-05-12 01:13:00,6
2019-05-12 01:14:00,5
2019-05-12 01:15:00,5
2019-05-12 01:16:00,4
2019-05-12 01:20:00,1
2019-05-12 01:21:00,2
2019-05-12 01:22:00,2
2019-05-12 02:03:00,4
2019-05-12 02:04:00,20
2019-05-12 02:05:00,22
2019-05-12 02:06:00,13
2019-05-12 02:14:00,3
2019-05-12 02:15:00,6
2019-05-12 02:16:00,8
2019-05-12 03:31:00,2
2019-05-12 03:32:00,5
2019-05-12 03:33:00,5
2019-05-12 03:34:00,4
2019-05-12 03:35:00,4
2019-05-12 03:36:00,4
2019-05-12 03:37:00,11
2019-05-12 03:38:00,12
2019-05-12 03:39:00,9
2019-05-12 03:40:00,3
2019-05-12 03:41:00,2
2019-05-12 03:43:00,6
2019-05-12 03:44:00,11
2019-05-12 03:45:00,22
2019-05-12 03:46:00,30
2019-05-12 03:47:00,19
2019-05-12 03:48:00,12
2019-05-12 03:49:00,2
2019-05-12 03:50:00,3
2019-05-12 03:55:00,6
2019-05-12 03:56:00,6
2019-05-12 03:59:00,2
2019-05-12 04:26:00,5
2019-05-12 04:27:00,6
2019-05-12 04:28:00,3
2019-05-12 04:33:00,1
2019-05-12 04:35:00,1
2019-05-12 04:36:00,1
2019-05-12 04:37:00,1
2019-05-12 04:42:00,1
2019-05-12 04:44:00,1
2019-05-12 04:45:00,1
2019-05-12 04:46:00,2
2019-05-12 04:47:00,2
2019-05-12 04:48:00,2
2019-05-12 04:49:00,2
2019-05-12 04:50:00,1
2019-05-12 04:58:00,3
2019-05-12 04:59:00,1
2019-05-12 05:00:00,5
2019-05-12 05:03:00,3
2019-05-12 05:04:00,1
2019-05-12 05:23:00,4
2019-05-12 05:24:00,12
2019-05-12 05:25:00,6
2019-05-12 05:26:00,1
2019-05-12 05:29:00,1
2019-05-12 05:31:00,1
2019-05-12 05:33:00,1
2019-05-12 05:36:00,2
2019-05-12 05:37:00,1
2019-05-12 06:01:00,3
2019-05-12 06:02:00,5
2019-05-12 06:03:00,11
2019-05-12 06:04:00,13
2019-05-12 06:05:00,13
2019-05-12 06:06:00,11
2019-05-12 06:07:00,8
2019-05-12 06:08:00,2
2019-05-12 06:09:00,3
2019-05-12 06:10:00,1
2019-05-12 06:15:00,2
2019-05-12 06:21:00,1
2019-05-12 06:29:00,1
2019-05-12 06:38:00,1
2019-05-12 06:39:00,1
2019-05-12 06:40:00,2
2019-05-12 06:41:00,1
2019-05-12 06:43:00,2
2019-05-12 06:46:00,2
2019-05-12 06:47:00,3
2019-05-12 06:48:00,4
2019-05-12 06:58:00,2
2019-05-12 06:59:00,2
2019-05-12 07:00:00,3
2019-05-12 07:01:00,2
2019-05-12 07:07:00,1
2019-05-12 07:08:00,1
2019-05-12 07:24:00,2
2019-05-12 07:25:00,4
2019-05-12 07:26:00,4
2019-05-12 07:27:00,3
2019-05-12 07:50:00,11
2019-05-12 07:51:00,9
2019-05-12 07:52:00,7
2019-05-12 07:53:00,3
2019-05-12 07:54:00,1
2019-05-12 07:55:00,5
2019-05-12 07:56:00,8
2019-05-12 07:57:00,6
2019-05-12 07:58:00,6
2019-05-12 07:59:00,6
2019-05-12 08:00:00,4
2019-05-12 08:01:00,4
2019-05-12 08:02:00,6
2019-05-12 08:03:00,3
2019-05-12 08:04:00,3
2019-05-12 08:05:00,4
2019-05-12 08:06:00,1
2019-05-12 08:07:00,1
2019-05-12 08:08:00,4
2019-05-12 08:09:00,7
2019-05-12 08:10:00,7
2019-05-12 08:11:00,9
2019-05-12 08:12:00,10
2019-05-12 08:13:00,7
2019-05-12 08:14:00,4
2019-05-12 08:15:00,2
2019-05-12 08:16:00,1
2019-05-12 08:17:00,5
2019-05-12 08:18:00,10
2019-05-12 08:19:00,5
2019-05-12 08:20:00,10
2019-05-12 08:21:00,11
2019-05-12 08:22:00,11
2019-05-12 08:23:00,15
2019-05-12 08:24:00,11
2019-05-12 08:25:00,18
2019-05-12 08:26:00,11
2019-05-12 08:27:00,14
2019-05-12 08:28:00,10
2019-05-12 08:29:00,13
2019-05-12 08:30:00,21
2019-05-12 08:31:00,16
2019-05-12 08:32:00,15
2019-05-12 08:33:00,11
2019-05-12 08:34:00,15
2019-05-12 08:35:00,10
2019-05-12 08:36:00,10
2019-05-12 08:37:00,8
2019-05-12 08:38:00,6
2019-05-12 08:39:00,9
2019-05-12 08:40:00,5
2019-05-12 08:41:00,5
2019-05-12 08:42:00,3
2019-05-12 08:43:00,1
2019-05-12 08:44:00,1
2019-05-12 08:46:00,1
2019-05-12 08:47:00,1
2019-05-12 08:50:00,1
2019-05-12 08:52:00,2
2019-05-12 08:59:00,4
2019-05-12 09:00:00,2
2019-05-12 09:01:00,9
2019-05-12 09:02:00,3
2019-05-12 09:04:00,4
2019-05-12 09:05:00,5
2019-05-12 09:06:00,1
2019-05-12 09:13:00,2
2019-05-12 09:14:00,1
2019-05-12 09:15:00,4
2019-05-12 09:16:00,1
2019-05-12 09:17:00,1
2019-05-12 09:18:00,1
2019-05-12 09:19:00,4
2019-05-12 09:20:00,1
2019-05-12 09:21:00,3
2019-05-12 09:22:00,4
2019-05-12 09:23:00,4
2019-05-12 09:24:00,3
2019-05-12 09:25:00,1
2019-05-12 09:26:00,2
2019-05-12 09:27:00,4
2019-05-12 09:28:00,6
2019-05-12 09:29:00,10
2019-05-12 09:30:00,9
2019-05-12 09:31:00,7
2019-05-12 09:32:00,21
2019-05-12 09:33:00,20
2019-05-12 09:34:00,5
2019-05-12 09:35:00,2
2019-05-12 09:36:00,3
2019-05-12 09:37:00,1
2019-05-12 09:38:00,2
2019-05-12 09:39:00,1
2019-05-12 09:42:00,10
2019-05-12 09:43:00,19
2019-05-12 09:44:00,13
2019-05-12 09:45:00,14
2019-05-12 09:46:00,9
2019-05-12 09:47:00,2
2019-05-12 09:48:00,4
2019-05-12 09:49:00,6
2019-05-12 09:50:00,3
2019-05-12 09:51:00,3
2019-05-12 09:52:00,3
2019-05-12 09:53:00,2
2019-05-12 09:56:00,1
2019-05-12 09:57:00,2
2019-05-12 09:59:00,3
2019-05-12 10:00:00,3
2019-05-12 10:02:00,6
2019-05-12 10:03:00,12
2019-05-12 10:04:00,9
2019-05-12 10:05:00,6
2019-05-12 10:06:00,9
2019-05-12 10:07:00,9
2019-05-12 10:08:00,4
2019-05-12 10:09:00,7
2019-05-12 10:10:00,3
2019-05-12 10:11:00,4
2019-05-12 10:12:00,6
2019-05-12 10:13:00,3
2019-05-12 10:24:00,1
2019-05-12 10:50:00,3
2019-05-12 10:51:00,6
2019-05-12 10:52:00,7
2019-05-12 10:53:00,11
2019-05-12 10:54:00,18
2019-05-12 10:55:00,16
2019-05-12 10:56:00,13
2019-05-12 10:57:00,28
2019-05-12 10:58:00,10
2019-05-12 10:59:00,8
2019-05-12 11:00:00,8
2019-05-12 11:01:00,19
2019-05-12 11:02:00,20
2019-05-12 11:03:00,18
2019-05-12 11:04:00,14
2019-05-12 11:05:00,8
2019-05-12 11:06:00,2
2019-05-12 11:51:00,3
2019-05-12 11:52:00,3
2019-05-12 11:54:00,1
2019-05-12 11:56:00,2
2019-05-12 11:57:00,1
2019-05-12 11:58:00,2
2019-05-12 11:59:00,1
2019-05-12 12:06:00,1
2019-05-12 12:07:00,1
2019-05-12 12:08:00,2
2019-05-12 12:09:00,1
2019-05-12 12:10:00,1
2019-05-12 12:11:00,2
2019-05-12 12:12:00,1
2019-05-12 12:13:00,1
2019-05-12 12:14:00,1
2019-05-12 12:15:00,2
2019-05-12 12:16:00,1
2019-05-12 12:17:00,2
2019-05-12 12:18:00,1
2019-05-12 12:19:00,1
2019-05-12 12:20:00,1
2019-05-12 12:21:00,1
2019-05-12 12:33:00,1
2019-05-12 12:34:00,2
2019-05-12 12:35:00,1
2019-05-12 12:36:00,2
2019-05-12 12:37:00,5
2019-05-12 12:39:00,5
2019-05-12 12:41:00,4
2019-05-12 13:33:00,1
2019-05-12 13:35:00,1
2019-05-12 13:36:00,1
2019-05-12 13:37:00,1
2019-05-12 13:39:00,1
2019-05-12 13:40:00,1
2019-05-12 13:41:00,1
2019-05-12 13:42:00,1
2019-05-12 13:43:00,1
2019-05-12 13:44:00,1
2019-05-12 13:45:00,1
2019-05-12 13:46:00,1
2019-05-12 13:48:00,1
2019-05-12 13:49:00,1
2019-05-12 13:51:00,1
2019-05-12 13:52:00,1
2019-05-12 14:07:00,2
2019-05-12 14:08:00,1
2019-05-12 14:09:00,3
2019-05-12 14:10:00,4
2019-05-12 14:11:00,5
2019-05-12 14:12:00,3
2019-05-12 14:13:00,5
2019-05-12 14:15:00,1
2019-05-12 14:16:00,1
