5,"SELECT ALL objra, objdec, nsa_elpetro_absmag_f, plate, nsa_nsaid, nsa_field, nsa_version FROM mangaDRPall  WHERE nsa_nsaid = #"
2019-05-12 18:26:00,1
2019-05-12 18:28:00,1
2019-05-12 18:29:00,3
