17,"SELECT TOP #  s.plate,s.mjd,s.fiberid  FROM ..SpecObj as s  JOIN dbo.fGetNearbySpecObjEq(#,#,#) AS b ON b.SpecobjID = S.SpecobjID  WHERE s.zWarning = #"
2019-05-12 16:39:00,1
2019-05-12 16:45:00,1
2019-05-12 16:48:00,1
2019-05-12 16:54:00,1
2019-05-12 16:58:00,1
2019-05-12 17:00:00,1
2019-05-12 17:19:00,1
2019-05-12 17:23:00,1
2019-05-12 17:27:00,1
2019-05-12 17:30:00,1
2019-05-12 17:32:00,1
2019-05-12 17:37:00,1
2019-05-12 17:41:00,1
2019-05-12 17:49:00,1
2019-05-12 17:53:00,2
2019-05-12 17:56:00,1
