5,"SELECT TOP # p.psfMag_u, p.psfMag_g, p.psfMag_r, p.psfMag_i, p.psfMag_z FROM PhotoObjAll AS p JOIN dbo.fGetNearbyObjEq(#.,#, #) AS GN ON p.objID = GN.objID"
2019-05-08 22:58:00,1
2019-05-08 22:59:00,2
2019-05-08 23:02:00,1
2019-05-08 23:16:00,1
