671,"SELECT p.objid, p.type, p.clean, p.ra, p.dec, p.psfMag_u, p.psfMag_g, p.psfMag_r, p.psfMag_i, p.psfMag_z, p.petroR9#_u, p.petroR9#_g, p.petroR9#_r, p.petroR9#_i, p.petroR9#_z, p.psffwhm_u, p.psffwhm_g, p.psffwhm_r, p.psffwhm_i, p.psffwhm_z, p.modelMag_u, p.modelMag_g, p.modelMag_r, p.modelMag_i, p.modelMag_z, pz.z, pz.zErr FROM PhotoObj AS p , dbo.fGetNearbyObjEq(#, #, #) AS n LEFT JOIN Photoz AS pz ON pz.objID = n.objID WHERE n.objID = p.objID"
2019-05-08 21:50:00,7
2019-05-08 21:51:00,11
2019-05-08 21:52:00,7
2019-05-08 21:53:00,2
2019-05-08 21:55:00,1
2019-05-08 21:56:00,9
2019-05-08 21:57:00,10
2019-05-08 21:58:00,9
2019-05-08 21:59:00,9
2019-05-08 22:00:00,9
2019-05-08 22:01:00,10
2019-05-08 22:02:00,7
2019-05-08 22:03:00,9
2019-05-08 22:04:00,10
2019-05-08 22:05:00,6
2019-05-08 22:06:00,7
2019-05-08 22:07:00,7
2019-05-08 22:08:00,8
2019-05-08 22:09:00,8
2019-05-08 22:10:00,8
2019-05-08 22:11:00,7
2019-05-08 22:12:00,9
2019-05-08 22:13:00,11
2019-05-08 22:14:00,9
2019-05-08 22:15:00,9
2019-05-08 22:16:00,10
2019-05-08 22:17:00,9
2019-05-08 22:18:00,9
2019-05-08 22:19:00,8
2019-05-08 22:20:00,8
2019-05-08 22:21:00,10
2019-05-08 22:22:00,9
2019-05-08 22:23:00,7
2019-05-08 22:24:00,10
2019-05-08 22:25:00,7
2019-05-08 22:26:00,8
2019-05-08 22:27:00,7
2019-05-08 22:28:00,9
2019-05-08 22:29:00,8
2019-05-08 22:30:00,10
2019-05-08 22:31:00,8
2019-05-08 22:32:00,9
2019-05-08 22:33:00,6
2019-05-08 22:34:00,10
2019-05-08 22:35:00,7
2019-05-08 22:36:00,7
2019-05-08 22:37:00,8
2019-05-08 22:38:00,8
2019-05-08 22:39:00,8
2019-05-08 22:40:00,9
2019-05-08 22:41:00,9
2019-05-08 22:42:00,7
2019-05-08 22:43:00,7
2019-05-08 22:44:00,10
2019-05-08 22:45:00,6
2019-05-08 22:46:00,9
2019-05-08 22:47:00,7
2019-05-08 22:48:00,8
2019-05-08 22:49:00,9
2019-05-08 22:50:00,10
2019-05-08 22:51:00,10
2019-05-08 22:52:00,9
2019-05-08 22:53:00,9
2019-05-08 22:54:00,11
2019-05-08 22:55:00,9
2019-05-08 22:56:00,10
2019-05-08 22:57:00,10
2019-05-08 22:58:00,9
2019-05-08 22:59:00,10
2019-05-08 23:00:00,10
2019-05-08 23:01:00,9
2019-05-08 23:02:00,9
2019-05-08 23:03:00,10
2019-05-08 23:04:00,9
2019-05-08 23:05:00,9
2019-05-08 23:06:00,8
2019-05-08 23:07:00,10
2019-05-08 23:08:00,8
2019-05-08 23:09:00,9
2019-05-08 23:10:00,3
