3,"SELECT TOP # p.psfMag_u, p.psfMag_g, p.psfMag_r, p.psfMag_i, p.psfMag_z FROM PhotoObjAll AS p"
2019-05-08 22:58:00,1
2019-05-08 23:27:00,1
2019-05-08 23:28:00,1
