13,"SELECT str(s.ra,#,#) as ra,str(s.[dec],#,#) as dec,s.targetID,s.z,s.zErr,s.zWarning,p.g,p.r,p.i,p.z FROM BESTDR7..SpecObj as s  JOIN BESTDR7..PhotoObj AS p ON s.bestObjID = p.objID  JOIN dbo.fGetObjFromRect(#,#,#,#) AS b ON p.objID = b.objID  WHERE s.z > # AND (s.specClass = dbo.fSpecClass(&&&)) AND s.z < # AND ( p.type = # OR p.type = #)"
2019-05-08 20:01:00,1
2019-05-08 20:07:00,1
2019-05-08 20:11:00,1
2019-05-08 20:13:00,1
2019-05-08 20:16:00,1
2019-05-08 20:26:00,1
2019-05-08 20:42:00,1
2019-05-08 20:49:00,1
2019-05-08 20:50:00,1
2019-05-08 20:53:00,1
2019-05-08 21:00:00,1
2019-05-08 21:02:00,1
2019-05-08 21:04:00,1
