29,"SELECT GN.distance, p.objid, pz.z as redshift, pz.zErr as redshift_error FROM PhotoObjAll as p JOIN dbo.fGetNearbyObjEq(#,#,#) AS GN ON GN.objID=p.objID JOIN Photoz AS pz ON pz.objID=p.objID ORDER BY distance"
2019-05-08 02:00:00,1
2019-05-08 02:02:00,1
2019-05-08 02:03:00,1
2019-05-08 02:08:00,1
2019-05-08 02:14:00,1
2019-05-08 02:21:00,1
2019-05-08 02:25:00,1
2019-05-08 02:27:00,1
2019-05-08 02:28:00,1
2019-05-08 02:31:00,1
2019-05-08 02:33:00,1
2019-05-08 02:35:00,1
2019-05-08 02:36:00,1
2019-05-08 02:39:00,1
2019-05-08 02:40:00,1
2019-05-08 02:41:00,1
2019-05-08 02:43:00,1
2019-05-08 02:44:00,1
2019-05-08 02:45:00,1
2019-05-08 02:46:00,1
2019-05-08 02:47:00,1
2019-05-08 02:49:00,1
2019-05-08 02:50:00,1
2019-05-08 02:51:00,1
2019-05-08 02:53:00,1
2019-05-08 02:54:00,1
2019-05-08 02:56:00,1
2019-05-08 02:57:00,1
2019-05-08 02:59:00,1
