21,"select BlockLot,  Neighborhood    , Lat=GeogCenter.Lat, Long=GeogCenter.Long, Str=GeogCenter.ToString()    , IsVacant, IsDemolished, IsMCC  from RealPropertiesExtra  where IsVacant = #"
2019-06-20 01:39:00,1
2019-06-20 02:19:00,1
2019-06-20 03:49:00,1
2019-06-20 04:05:00,1
2019-06-20 12:42:00,1
2019-06-20 13:15:00,1
2019-06-20 14:23:00,1
2019-06-20 14:42:00,1
2019-06-20 15:18:00,1
2019-06-20 15:33:00,2
2019-06-20 15:38:00,1
2019-06-20 15:39:00,1
2019-06-20 17:45:00,1
2019-06-20 17:46:00,1
2019-06-20 18:06:00,1
2019-06-20 18:17:00,1
2019-06-20 18:36:00,1
2019-06-20 19:01:00,1
2019-06-20 19:26:00,1
2019-06-20 19:56:00,1
