9630,"SELECT TOP # P.ra, P.dec, P.psfMag_u, P.psfMagErr_u, P.petroMag_u, P.petroMagErr_u, P.modelMag_u, P.modelMagErr_u, P.expMag_u, P.expMagErr_u, P.deVMag_u, P.deVMagErr_u, lnLExp_u, P.lnLDeV_u, P.extinction_u, P.psfMag_g, P.psfMagErr_g, P.petroMag_g, P.petroMagErr_g, P.modelMag_g, P.modelMagErr_g, P.expMag_g, P.expMagErr_g, P.deVMag_g, P.deVMagErr_g, lnLExp_g, P.lnLDeV_g, P.extinction_g, P.psfMag_r, P.psfMagErr_r, P.petroMag_r, P.petroMagErr_r, P.modelMag_r, P.modelMagErr_r, P.expMag_r, P.expMagErr_r, P.deVMag_r, P.deVMagErr_r, lnLExp_r, P.lnLDeV_r, P.extinction_r, P.psfMag_i, P.psfMagErr_i, P.petroMag_i, P.petroMagErr_i, P.modelMag_i, P.modelMagErr_i, P.expMag_i, P.expMagErr_i, P.deVMag_i, P.deVMagErr_i, lnLExp_i, P.lnLDeV_i, P.extinction_i, P.psfMag_z, P.psfMagErr_z, P.petroMag_z, P.petroMagErr_z, P.modelMag_z, P.modelMagErr_z, P.expMag_z, P.expMagErr_z, P.deVMag_z, P.deVMagErr_z, lnLExp_z, P.lnLDeV_z, P.extinction_z, P.expAB_r, P.expPhi_r, P.expRad_r, P.deVAB_r, P.deVPhi_r, P.deVRad_r FROM PhotoPrimary as P JOIN dbo.fGetNearbyObjEq(#,#, #) AS PN ON P.objID = PN.objID ORDER BY distance"
2019-06-20 22:32:00,45
2019-06-20 22:33:00,88
2019-06-20 22:34:00,80
2019-06-20 22:35:00,91
2019-06-20 22:36:00,67
2019-06-20 22:37:00,93
2019-06-20 22:38:00,71
2019-06-20 22:39:00,90
2019-06-20 22:40:00,76
2019-06-20 22:41:00,111
2019-06-20 22:42:00,127
2019-06-20 22:43:00,130
2019-06-20 22:44:00,133
2019-06-20 22:45:00,114
2019-06-20 22:46:00,113
2019-06-20 22:47:00,120
2019-06-20 22:48:00,134
2019-06-20 22:49:00,84
2019-06-20 22:50:00,135
2019-06-20 22:51:00,124
2019-06-20 22:52:00,147
2019-06-20 22:53:00,111
2019-06-20 22:54:00,135
2019-06-20 22:55:00,131
2019-06-20 22:56:00,110
2019-06-20 22:57:00,151
2019-06-20 22:58:00,150
2019-06-20 22:59:00,151
2019-06-20 23:00:00,158
2019-06-20 23:01:00,153
2019-06-20 23:02:00,147
2019-06-20 23:03:00,155
2019-06-20 23:04:00,157
2019-06-20 23:05:00,157
2019-06-20 23:06:00,158
2019-06-20 23:07:00,159
2019-06-20 23:08:00,157
2019-06-20 23:09:00,156
2019-06-20 23:10:00,162
2019-06-20 23:11:00,160
2019-06-20 23:12:00,159
2019-06-20 23:13:00,162
2019-06-20 23:14:00,159
2019-06-20 23:15:00,162
2019-06-20 23:16:00,160
2019-06-20 23:17:00,154
2019-06-20 23:18:00,159
2019-06-20 23:19:00,158
2019-06-20 23:20:00,158
2019-06-20 23:21:00,159
2019-06-20 23:22:00,160
2019-06-20 23:23:00,162
2019-06-20 23:24:00,156
2019-06-20 23:25:00,159
2019-06-20 23:26:00,161
2019-06-20 23:27:00,164
2019-06-20 23:28:00,158
2019-06-20 23:29:00,162
2019-06-20 23:30:00,159
2019-06-20 23:31:00,161
2019-06-20 23:32:00,161
2019-06-20 23:33:00,158
2019-06-20 23:34:00,161
2019-06-20 23:35:00,162
2019-06-20 23:36:00,157
2019-06-20 23:37:00,159
2019-06-20 23:38:00,164
2019-06-20 23:39:00,163
2019-06-20 23:40:00,162
