10,"select pa.objID, pa.ra, pa.dec, pa.flags,    pa.dered_u, pa.modelMag_u, pa.modelMagErr_u, pa.flags_u,    pa.dered_g, pa.modelMag_g, pa.modelMagErr_g, pa.flags_g,    pa.dered_r, pa.modelMag_r, pa.modelMagErr_r, pa.flags_r,    pa.dered_i, pa.modelMag_i, pa.modelMagErr_i, pa.flags_i,    pa.dered_z, pa.modelMag_z, pa.modelMagErr_z, pa.flags_z  into mydb.S8#PhotoObj_#A from PhotoObjAll as pa  WHERE (pa.dec between # and #.)   and (pa.ra between # and #)"
2019-06-20 13:22:00,1
2019-06-20 13:31:00,1
2019-06-20 13:38:00,1
2019-06-20 13:46:00,1
2019-06-20 13:47:00,1
2019-06-20 13:48:00,1
2019-06-20 13:49:00,1
2019-06-20 13:55:00,1
2019-06-20 14:03:00,1
2019-06-20 14:10:00,1
