2,"SELECT     m.objid, m.ra AS ra1, m.dec AS dec1,     n.objid, n.distance,     o.z AS z into mydb.MyTable_# from MyDB.SecondID6 AS m     CROSS APPLY dbo.fGetNearestObjEq( m.ra, m.dec, #) AS n     JOIN Photoz AS o ON n.objid=o.objid"
2019-06-20 12:36:00,1
2019-06-20 12:55:00,1
