21,"SELECT TOP #  p.run, p.rerun, p.camcol, p.field  FROM PhotoObjDR7 AS p  WHERE p.dr7objid=#"
2019-06-20 00:27:00,1
2019-06-20 01:47:00,1
2019-06-20 04:54:00,1
2019-06-20 04:56:00,1
2019-06-20 05:24:00,1
2019-06-20 05:58:00,1
2019-06-20 05:59:00,1
2019-06-20 06:29:00,1
2019-06-20 07:12:00,1
2019-06-20 07:51:00,1
2019-06-20 08:50:00,1
2019-06-20 09:45:00,1
2019-06-20 09:59:00,1
2019-06-20 11:15:00,1
2019-06-20 12:00:00,1
2019-06-20 12:32:00,1
2019-06-20 15:40:00,1
2019-06-20 18:40:00,1
2019-06-20 19:33:00,1
2019-06-20 21:14:00,1
2019-06-20 23:08:00,1
